ax,ay,az,gx,gy,gz
0.77239,0.01437,10.28661,-0.02358,0.00213,-0.02771
0.76641,0.01916,10.2902,-0.02385,0.00107,-0.02838
0.77718,0.01677,10.30098,-0.02345,0.00107,-0.02851
0.79036,0.00479,10.29499,-0.02345,0.0016,-0.02825
0.78557,0.00958,10.31176,-0.02278,0.00213,-0.02878
0.78676,0.01317,10.28661,-0.02332,0.00133,-0.02851
0.78796,0.01317,10.29858,-0.02372,0.00187,-0.02864
0.76401,0.01557,10.29499,-0.02438,0.0016,-0.02745
0.77239,0.01557,10.28302,-0.02385,0.00053,-0.02771
0.78197,0.0,10.29379,-0.02385,0.00107,-0.02771
0.77838,0.00359,10.27104,-0.02358,0.00067,-0.02811
0.78078,0.00958,10.25667,-0.02372,0.00093,-0.02785
0.76401,0.0024,10.29978,-0.02372,0.00133,-0.02785
0.78676,0.00958,10.32972,-0.02398,0.00147,-0.02798
0.79395,0.01677,10.30697,-0.02385,0.0012,-0.02731
0.7688,0.01317,10.2902,-0.02372,0.0008,-0.02825
0.77838,0.00359,10.27703,-0.02292,0.00173,-0.02758
0.77,0.01557,10.32493,-0.02318,0.00173,-0.02705
0.77,0.00599,10.30816,-0.02398,0.00226,-0.02718
2.93869,0.40715,10.2435,-0.02305,0.00799,-0.04503
0.44068,-0.45386,10.10579,-0.03397,0.2117,-0.03917
1.41546,0.35925,9.97765,-0.03104,0.1744,0.02078
0.80952,-0.09341,10.20039,-0.03691,0.18266,0.05516
1.14242,0.21076,10.20518,-0.03544,0.18972,0.05556
0.48379,-0.06107,10.33212,-0.03424,0.20811,0.06209
0.11496,0.03233,10.27583,-0.02811,0.19958,0.05902
0.32333,-0.17124,10.27583,-0.02385,0.10965,0.02105
2.45011,0.38919,10.39319,-0.02345,0.05995,0.01186
1.43102,-0.35207,10.42073,-0.03437,0.28525,0.1275
0.88975,0.09341,10.26625,-0.02585,0.39157,0.18666
-0.95801,-0.45745,9.97765,-0.01905,0.42634,0.18426
-0.40236,0.37003,10.21117,-0.00733,0.22769,0.00679
3.11832,0.75802,10.11537,-0.01399,0.07288,-0.01079
2.42855,0.45984,10.40037,-0.03984,0.3103,0.17746
1.7316,-0.37602,10.18003,-0.04596,0.60101,0.28138
1.7783,-0.2383,10.22673,-0.02918,0.6968,0.33708
0.20358,-0.47421,10.30457,-0.00826,0.81351,0.38797
0.25866,0.22393,10.25308,0.01092,0.9109,0.40915
-0.11736,0.63827,9.98364,0.01013,0.98178,0.43274
0.11855,0.46104,10.20398,-0.00493,1.01735,0.45845
-0.63947,-0.25746,10.12614,-0.01852,1.04267,0.47017
0.58319,-0.0503,10.09501,-0.01132,1.03814,0.46738
0.49098,-0.47421,10.23631,0.00253,1.04134,0.47057
-0.26704,0.06946,10.08183,0.02372,1.08424,0.48629
-1.09572,0.28261,9.98124,0.03091,1.10529,0.49469
-0.85143,0.65264,10.04591,0.02731,1.07571,0.48549
-1.0083,0.18322,9.8124,0.01252,1.06052,0.48256
-0.92687,0.22633,10.07585,0.01132,1.01869,0.46631
-0.71012,-0.37961,10.13333,0.01652,1.01575,0.46844
0.5305,-0.01677,9.99322,0.03557,1.04293,0.4783
-2.26569,-0.08981,10.07944,0.05116,1.11928,0.50841
-1.38911,0.64067,9.86389,0.05902,1.06385,0.4811
-1.31726,0.54966,9.62798,0.04596,1.06052,0.48336
-2.37825,0.31854,10.19081,0.03464,1.06465,0.48776
-0.40596,0.21316,9.54655,0.03171,1.06505,0.49136
-1.34001,-0.13173,9.89502,0.04477,1.1314,0.5172
-1.66813,0.00838,10.15728,0.06075,1.12967,0.51787
-1.47174,0.25866,9.41602,0.07461,1.15045,0.53666
-2.1639,0.74485,9.47709,0.08567,1.17523,0.55438
-2.10522,0.81071,9.71061,0.08007,1.18829,0.56184
-2.18785,-0.12334,9.78006,0.07155,1.23892,0.59115
-3.3183,0.1916,9.94412,0.11564,1.16924,0.51187
-2.46328,0.63947,9.78485,0.11365,0.96126,0.42168
-2.50639,0.35566,9.36333,0.12377,0.9133,0.40223
-2.30521,0.85382,9.58128,0.13243,0.90997,0.40103
-1.64059,0.71491,9.31064,0.13296,0.96952,0.42821
-3.5578,0.61193,9.47589,0.14149,1.08237,0.46644
-2.84049,0.59756,9.45673,0.14256,1.02215,0.45339
-1.69448,0.48499,9.18011,0.14935,0.99497,0.45525
-3.24166,0.64546,9.41602,0.15801,1.03734,0.47084
-3.15304,0.99753,9.24358,0.15748,1.03934,0.47977
-2.8872,0.70533,9.06275,0.15655,1.03734,0.48456
-3.7039,1.06818,9.16454,0.16081,1.03854,0.48203
-3.33626,1.02627,8.93342,0.15681,1.00137,0.47137
-3.28118,0.74365,9.11664,0.15974,0.99017,0.47164
-3.82485,0.85502,9.137,0.18093,1.03001,0.48909
-3.62366,0.94603,8.91786,0.19225,1.04253,0.49509
